"pathway_id","node1_kegg_id","node1_symbol","node1_type","node1_entry_id","node2_kegg_id","node2_symbol","node2_type","node2_entry_id","relation_type","subtype_1_name","subtype_1_value","subtype_2_name","subtype_2_value","subtype_3_name","subtype_3_value","ExperimentScore","CoexpressionScore"
"hsa04724","hsa:107 hsa:108 hsa:109 hsa:111 hsa:112 hsa:113 hsa:114 hsa:115 hsa:196883","ADCY1, AC1, DFNB44...","gene",46,"cpd:C00575","C00575","compound",92,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00575","C00575","compound",92,"hsa:5566 hsa:5567 hsa:5568","PRKACA, CAFD1, PKACA, PPNAD4...","gene",91,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2912 hsa:2913","GRM2, GLUR2, GPRC1B, MGLUR2, mGlu2...","gene",45,"hsa:156 hsa:157","GRK2, ADRBK1, BARK1, BETA-ARK1...","gene",108,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2911 hsa:2915","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","gene",32,"hsa:116443 hsa:116444 hsa:2902 hsa:2903 hsa:2904 hsa:2905 hsa:2906","GRIN3A, GluN3A, NMDAR-L, NMDAR3A, NR3A...","gene",31,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2911 hsa:2915","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","gene",32,"hsa:7220","TRPC1, HTRP-1, TRP1","gene",83,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535","PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B...","gene",97,"hsa:2911 hsa:2915","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","gene",32,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2911 hsa:2915","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","gene",32,"hsa:2776","GNAQ, CMAL, CMC1, G-ALPHA-q, GAQ, SWS","gene",64,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2776","GNAQ, CMAL, CMC1, G-ALPHA-q, GAQ, SWS","gene",64,"hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",65,"PCrel","activation","-->","","","","",541,60
"hsa04724","hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",65,"cpd:C01245","C01245","compound",74,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C01245","C01245","compound",74,"hsa:3708 hsa:3709 hsa:3710","ITPR1, ACV, CLA4, INSP3R1, IP3R, IP3R1, PPP1R94, SCA15, SCA16, SCA29...","gene",78,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",65,"cpd:C00165","C00165","compound",75,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00165","C00165","compound",75,"hsa:5578 hsa:5579 hsa:5582","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","gene",81,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00076","C00076","compound",80,"hsa:5578 hsa:5579 hsa:5582","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","gene",81,"PCrel","activation","-->","","","","",0,0
